,from_stop_I,to_stop_I,dep_time_ut,route_type,trip_I,seq,route_I,lat_from,lon_from,name_from,lat_to,lon_to,name_to,d,n_vehicles,route_I_counts,dep_Year,dep_Month,dep_Week,dep_Day,dep_Dayofweek,dep_Dayofyear,dep_Is_month_end,dep_Is_month_start,dep_Is_quarter_end,dep_Is_quarter_start,dep_Is_year_end,dep_Is_year_start,dep_Hour,dep_Minute,dep_Elapsed,dep_date,prediction,scheduled_date
483429,220,111,1462129980,2,186289,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,19,13,1462129980,9232,240.0,240.0
488604,357,111,1462136880,2,189911,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,21,8,1462136880,9347,240.0,240.0
490141,220,111,1462138980,2,186801,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,21,43,1462138980,9382,240.0,240.0
487935,220,111,1462135980,2,186478,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,20,53,1462135980,9332,240.0,240.0
481404,220,111,1462127580,2,186220,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,18,33,1462127580,9192,240.0,240.0
482454,220,111,1462128780,2,186252,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,18,53,1462128780,9212,240.0,240.0
485737,220,111,1462132980,2,186386,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,20,3,1462132980,9282,240.0,240.0
487908,220,111,1462135980,2,186623,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,20,53,1462135980,9332,240.0,240.0
489894,357,111,1462138680,2,189940,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,21,38,1462138680,9377,240.0,240.0
484115,357,111,1462130880,2,189868,12,1031,52.534317,13.328708,42,52.536186,13.343842,185,1045.0,368.0,35,2016,5,17,1,6,122,False,True,False,False,False,False,19,28,1462130880,9247,240.0,240.0
489282,220,111,1462137780,2,186655,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,21,23,1462137780,9362,240.0,240.0
493177,220,111,1462144980,2,186753,10,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,23,23,1462144980,9482,240.07894736842104,240.0
481939,220,111,1462128180,2,186236,15,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,18,43,1462128180,9202,240.0,240.0
493034,220,111,1462144380,2,186732,10,1033,52.542735,13.366065,184,52.536186,13.343842,185,1671.0,354.0,46,2016,5,17,1,6,122,False,True,False,False,False,False,23,13,1462144380,9472,240.07894736842104,240.0
